year,month,scope,category,type,value
2019,7,二轮,250ml<排量≤400ml,排量,5432.0
2019,7,二轮,400ml<排量≤500ml,排量,1937.0
2019,7,二轮,500ml<排量≤800ml,排量,646.0
2019,7,二轮,排量>800ml,排量,0.0
2019,7,总计,总计,总量,848891.0
2019,11,二轮,排量≤50ml,排量,74168.0
2019,11,二轮,50ml<排量≤100ml,排量,13414.0
2019,11,二轮,100ml<排量≤125ml,排量,425984.0
2019,11,二轮,125ml<排量≤150ml,排量,219248.0
2019,11,二轮,150ml<排量≤200ml,排量,78760.0
2019,11,二轮,200ml<排量≤250ml,排量,20230.0
2019,11,二轮,250ml<排量≤400ml,排量,4793.0
2019,11,二轮,400ml<排量≤500ml,排量,529.0
2019,11,二轮,500ml<排量≤800ml,排量,227.0
2019,11,二轮,排量>800ml,排量,0.0
2019,11,总计,总计,总量,837353.0
